Move Number,Eval,Centipawn Loss,Time Left,Time Spent
24w,-10.0,0,171,3
24b,-19.71,0,320,158
25w,-30.48,10.77,116,60
25b,-18.35,12.129999999999999,287,38
26w,-10.0,0,52,69
26b,-10.0,0,289,3
1w,0.08,0,60,0
1b,0.3,0.21999999999999997,60,0
2w,0.08,0.21999999999999997,59,1
2b,0.33,0.25,60,0
3w,0.0,0.33,59,0
3b,0.0,0,59,1
4w,0.05,0,58,1
4b,0.17,0.12000000000000001,59,0
5w,0.0,0.17,58,0
5b,0.39,0.39,59,0
6w,-0.06,0.45,57,1
6b,0.43,0.49,59,0
7w,0.31,0.12,57,0
7b,0.32,0.010000000000000009,58,1
8w,0.37,0,56,1
8b,0.31,0,57,1
9w,0.07,0.24,55,1
9b,0.21,0.13999999999999999,56,1
10w,0.02,0.19,53,2
10b,0.49,0.47,55,1
11w,0.37,0.12,51,2
11b,0.51,0.14,54,1
12w,0.49,0.020000000000000018,49,2
12b,0.7,0.20999999999999996,54,0
13w,0.24,0.45999999999999996,47,2
13b,0.99,0.75,52,2
14w,0.98,0.010000000000000009,46,1
14b,1.36,0.3800000000000001,52,0
15w,1.43,0,45,1
15b,1.92,0.49,49,3
16w,1.81,0.10999999999999988,45,0
16b,1.92,0.10999999999999988,48,1
17w,1.9,0.020000000000000018,44,1
17b,1.89,0,38,10
18w,2.04,0,42,2
18b,2.0,0,37,1
19w,1.22,0.78,39,3
19b,1.28,0.06000000000000005,37,0
20w,1.38,0,35,4
20b,1.22,0,36,1
21w,1.07,0.1499999999999999,33,2
21b,1.15,0.07999999999999985,35,1
22w,1.15,0,33,0
22b,1.18,0.030000000000000027,34,1
23w,0.34,0.8399999999999999,33,0
23b,0.49,0.14999999999999997,33,1
24w,0.13,0.36,32,1
24b,0.15,0.01999999999999999,31,2
25w,0.2,0,31,1
25b,0.24,0.03999999999999998,30,1
26w,-0.37,0.61,29,2
26b,-0.4,0,29,1
27w,-0.8,0.4,28,1
27b,-0.7,0.10000000000000009,28,1
28w,-0.72,0.020000000000000018,27,1
28b,-0.6,0.12,27,1
29w,-0.53,0,24,3
29b,-0.41,0.12000000000000005,25,2
30w,-1.27,0.8600000000000001,22,2
30b,-0.95,0.32000000000000006,22,3
31w,-1.03,0.08000000000000007,21,1
31b,-0.72,0.31000000000000005,21,1
32w,-1.72,1.0,18,3
32b,-1.73,0,20,1
33w,-1.69,0,18,0
33b,-1.3,0.3899999999999999,20,0
34w,-1.4,0.09999999999999987,17,1
34b,-0.72,0.6799999999999999,19,1
35w,-1.75,1.03,15,2
35b,-1.37,0.3799999999999999,19,0
36w,-2.43,1.06,12,3
36b,-2.08,0.3500000000000001,17,2
37w,-2.81,0.73,9,3
37b,-2.6,0.20999999999999996,16,1
38w,-4.84,2.2399999999999998,9,0
38b,-4.62,0.21999999999999975,15,1
39w,-5.32,0.7000000000000002,8,1
39b,-5.14,0.1800000000000006,15,0
